id,text,text_hashtag,comment_1,comment_2,comment_3,comment_4,comment_5
11,".
이사와서 3번째 가정예배.
친구 라연이까지 전도해서 미리와 기다리고 있는 포레스트초이💕👍😊
.
"," NSCA트레이너 
 NAC한국피지크국가대표🇰🇷  팀호
 리틀포레스트  아빠
.
 포기하지마!!  DGU  christian_gymlife
.
 퍼스널트레이닝  개인피티  휘트니스  말씀  복음  트레이너  헬스타그램  피트니스타그램  식단  운동  식단  bodybuilding  body  health  fitness  natural  physique  gym  gymlife  workout  기독교인이운동해야하는이유",N/A,N/A,N/A,N/A,N/A
12,"Básicas disponibles 😍
 purpuralight 💜
Envíos a todo el país ✈️
WhatsApp 📲 link en mi perfil ☝🏻
Pago contra entrega en la ciudad de Medellín 🛵.
.
.
.
", emprendedora  sueños  estilo  moda  fashion  amolamoda  nice  empoderada  sefemenina  love  shop  glamour  mystyle  nice  buso  camisetas  body  blusones  conjuntos  tiendavirtual  medellin  purpuralight,N/A,N/A,N/A,N/A,N/A
13,"Juguete grande del sexo anal púrpura
10.00 and FREE Shipping
Tag a friend who would love this!
Active link in BIO
", beauty  style  girls  fun  body  boy,N/A,N/A,N/A,N/A,N/A
14,"Hot quá ạ hình thật hàng bên e nhaa💋💋💋💋
Đã về sẵn full màu và số lượng tại shop😁😁
E áo đang rất hot đấy nhé😂
❌ ÁO THUN TĂM BODY BASIC ❌
💁🏻‍♀️Ai đã từng mua áo  Body nhà e thì sẽ bít đc chất của e áo pull này thần thánhhhh cỡ nào !
✔️ Siêu siêu co giãnnnnn
✔️ Tôn body và ko mỏng lộ
✔️ Basic item quá dễ phối đồ lunnn
Đảm bảo mua 1 là mún mua đủ màu lun đó nàng 💋
Màu: Trắng, đen.
🌲150k",,N/A,N/A,N/A,N/A,N/A
15,"Treino MMII / Eu & Ela @jaque_bragasantos 
Procure sempre um profissional qualificado! 
Professor DIEGO VITERBO
PERSONAL TRAINER 
@personaldiegoviterbo 
 maromba   tiraonda  ", bodybuilding  motivation  treino  ciencianoesporte  instafit  instagood  instafitness  personaltrainer  gym  academiamarinho  rj  academia  treino  treinopersonalizado  academia  academiamarinho  orgulho  treino  body  bomdia  goodmorning,N/A,N/A,N/A,N/A,N/A
16,"Não se iluda com cacau 30% 50% 
For usar use cacau 100% 🤜🏼🤛🏼💪🏼
➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
", fitnessndpower   fit  workouts  fitnessmotivation muscles  gymlife  diet  gymtime  bodybuilding abs  gymshark  workoutmotivation  healthy physique  muscle  fitindia  bodybuilder  body motivation  gymgirl  gym  workout  indian gymaddict  fitfam  fitnessmodel  gymrat bodybuildingmotivation  shredded gymmotivation,N/A,N/A,N/A,N/A,N/A
17," wellnesswednesday I'm out of the storm!!! Anxiety,fear,depression,grief,ptsd,just to name a few are very real mental health issues that are rampant in our society today. It's a condition that's misunderstood and crosses all walks of life,races,classes,rich,and poor alike. So many people are suffering in silence because of the negative stigma associated with these conditions,which is in realtalk, a lack of knowledge(ignorance)about the human mind,body,&spirit. Education is a must!! There are many situations in life that can cast us into despair,doubt,&depression. THERE IS A WAY OUT!! Seek help from your Dr. Talk to someone that will listen and not be judgemental! We must learn coping skills if we are to survive&ultimately live life!! ", wellnesswednesday mentalhealth mind body spirit empowerment peace tranquility  serenity lovehealsall support  love 🙏👑😁😎,Hi! We love your feed and would love for you to rep our brand and help raise awareness for gender equality! Send us a direct message for more detail!,N/A,N/A,N/A,N/A
18,⛰🌪 , ootd outfitoftheday outfitinspiration inspiration woman womanstyle fashion style lfl l4l likeforlike like4like instaphoto instadaily instalike photooftheday followme selfie picoftheday body polishgirl polskadziewczyna instagirls ootdfashion instagood beautiful smile,Świetne zdjęcia💕jak chcesz zgarnąć darmową pomadkę w ramach Akcji POMADKA odezwij się na priv🌸🧖🏼‍♀️,N/A,N/A,N/A,N/A
19,"Costumi Glitter ✨ € 15,00
Taglia unica
Pezzo di sopra con coppetta 
Slip brasiliano 
Spedizione in 24/48 ore 🎁
🚚Paga anche alla consegna
Per info, direct 📲

 beauty  ", body  glitter  bodyglitter  style  fashionweek  shop  shoppingonline  moda  cool  fashion  party  girlz  partydress  ootd  nightout  creativityloves💕,N/A,N/A,N/A,N/A,N/A
20,, modafeminina  mulher  lookdodia  elegancia  instafashion  roupasfemininas  glamour  lindasmulheres  damoda  mulheres  divas  moda  body  lindasmulheres  glamour  modafashion  modafeminina  inverno2019  stylefashion,N/A,N/A,N/A,N/A,N/A
